title,ratings_count
Twilight (Twilight  #1),4597666
The Hobbit  or There and Back Again,2530894
The Catcher in the Rye,2457092
Angels & Demons (Robert Langdon  #1),2418736
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),2339585
Harry Potter and the Chamber of Secrets (Harry Potter  #2),2293963
Harry Potter and the Order of the Phoenix (Harry Potter  #5),2153167
The Fellowship of the Ring (The Lord of the Rings  #1),2128944
Animal Farm,2111750
Harry Potter and the Half-Blood Prince (Harry Potter  #6),2095690
Lord of the Flies,2036679
Romeo and Juliet,1893917
The Lightning Thief (Percy Jackson and the Olympians  #1),1766725
Of Mice and Men,1755253
The Da Vinci Code (Robert Langdon  #2),1679706
The Alchemist,1631221
The Giver (The Giver  #1),1585589
The Book Thief,1516367
Little Women,1479727
Jane Eyre,1409369
