publisher,avg_rating,median_ratings_count,median_text_reviews,book_count
Vintage,3.8941823899371064,2716.5,184.5,318
Penguin Books,3.920383141762452,2448.0,154.0,261
Penguin Classics,3.944565217391304,2090.0,125.0,184
Mariner Books,3.933533333333333,1726.5,95.0,150
Ballantine Books,3.875,4262.5,219.0,144
Harper Perennial,3.8980357142857143,2358.5,202.0,112
HarperCollins,4.036875,1064.5,66.5,112
Pocket Books,3.9031531531531534,3713.0,151.0,111
Bantam,3.8894545454545453,3093.5,148.0,110
VIZ Media LLC,4.242613636363637,1413.5,37.0,88
Berkley,3.8869767441860463,5705.5,142.5,86
Dover Publications,3.9538823529411764,379.0,29.0,85
Modern Library,3.971829268292683,988.5,91.0,82
Del Rey,4.041625,3022.5,59.5,80
Tor Books,3.835131578947369,2215.0,73.5,76
