title,authors,publication_date,bookID
Cien años de soledad,Gabriel García Márquez,2/7/2006,763
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3/28/2006,968
The Da Vinci Code,Dan Brown,3/28/2006,969
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,1/11/2005,2140
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,1/11/2005,4104
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3/28/2006,4223
The Da Vinci Code,Dan Brown,3/28/2006,4248
Open House,Elizabeth Berg,5/1/2001,5190
'Salem's Lot,Stephen King/Ron McLarty,1/19/2004,5414
The Shining,Stephen King/Campbell Scott,8/2/2005,10593
Swan Song,Robert R. McCammon,6/1/1987,11541
Swan Song,Robert R. McCammon,6/1/1987,11557
The Shining,Stephen King,10/1/2002,12682
The Shining,Stephen King/Campbell Scott,8/2/2005,12683
The Shining,Stephen King,10/1/2002,12684
'Salem's Lot,Stephen King/Ron McLarty,1/19/2004,19135
'Salem's Lot,Stephen King,8/1/1976,19137
The Best American Mystery Stories 2004,Nelson DeMille/Otto Penzler,10/14/2004,21665
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,5/11/2004,21735
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,5/11/2004,21746
Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,11/25/2004,21756
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,6/10/2004,21758
Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,11/25/2004,21759
Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,11/25/2004,21763
The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,6/10/2004,21764
The Wheel of Darkness (Pendergast  #8),Douglas Preston/Lincoln Child,8/28/2007,21974
Open House,Elizabeth Berg,5/1/2001,22669
Cien años de soledad,Gabriel García Márquez,2/7/2006,23894
'Salem's Lot,Stephen King,8/1/1976,36303
The Wheel of Darkness (Pendergast  #8),Douglas Preston/Lincoln Child,8/28/2007,39028
The Best American Mystery Stories 2004,Nelson DeMille/Otto Penzler,10/14/2004,41033
