bookID,title,authors,average_rating
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73
159,Dinner with Anna Karenina,Gloria Goldreich,2.99
406,Cosmopolis,Don DeLillo,3.22
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0.0
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15
1302,Juiced Official Strategy Guide,Doug Walsh,0.0
1584,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,W. John Campbell,2.8
1658,American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,2.83
1856,In Web Design for Libraries,Charles P. Rubenstein,2.67
2019,The Birds (Methuen Drama),Sean O'Brien,2.67
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5.0
2126,The 3-Hour Diet: On the Go,Jorge Cruise,3.1
2152,The Jane Austen Book Club,Karen Joy Fowler,3.08
2167,Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,2.83
2452,Theocritus: Select Poems: Select Poems,Theocritus/Kenneth James Dover,3.0
2560,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5.0
2756,New Media Language,Jean Aitchison/Diana M. Lewis,3.0
2843,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5.0
3167,Phaedrus/Apology/Crito/Symposium,Plato/Benjamin Jowett,3.0
3343,Boogaloo on 2nd Avenue,Mark Kurlansky,3.17
3351,Open City 6: The Only Woman He Ever Left,Open City Magazine/James Purdy/Daniel Pinchbeck/Michael Cunningham/Deborah Garrison/Rem Koolhaas/Rick Moody/Strawberry Saroyan/Debra Garrison,0.0
3651,When the World Was Steady,Claire Messud,3.17
