bookID,title,authors,ratings_count
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,2095690
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,2153167
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,2339585
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,41428
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,28242
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,249558
21,A Short History of Nearly Everything,Bill Bryson,248558
24,In a Sunburned Country,Bill Bryson,72451
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,49240
26,The Lost Continent: Travels in Small Town America,Bill Bryson,45712
27,Neither Here nor There: Travels in Europe,Bill Bryson,48701
28,Notes from a Small Island,Bill Bryson,80609
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,28489
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,101233
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,2128944
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,19822
50,Hatchet (Brian's Saga  #1),Gary Paulsen,270244
67,The Known World,Edward P. Jones,29686
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,153317
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,38778
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,97494
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,45388
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,26153
122,The Power of One (The Power of One  #1),Bryce Courtenay,69167
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,16643
