bookID,title,authors,text_reviews_count
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,27591
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,29221
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,36325
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,808
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4080
21,A Short History of Nearly Everything,Bill Bryson,9396
24,In a Sunburned Country,Bill Bryson,4245
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,2211
26,The Lost Continent: Travels in Small Town America,Bill Bryson,2257
27,Neither Here nor There: Travels in Europe,Bill Bryson,2238
28,Notes from a Small Island,Bill Bryson,3301
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,2085
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1550
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,13670
50,Hatchet (Brian's Saga  #1),Gary Paulsen,12017
67,The Known World,Edward P. Jones,2626
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,2257
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,659
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,2359
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,644
122,The Power of One (The Power of One  #1),Bryce Courtenay,4551
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,1851
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,5696
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,726
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,633
