author_name,weighted_average_rating,total_ratings,book_count
Bill Watterson,4.713664873376197,144799,7
Kelly Jones,4.65,15640,1
Lee Loughridge,4.649107405277618,15651,2
Steve Oliff,4.62359375,17408,2
Matt Thorn,4.613291326908821,5396,3
Izumi Evers,4.6070946681175196,7352,4
Joe Yamazaki,4.6070946681175196,7352,4
Kaori Inoue,4.6070946681175196,7352,4
Gary Russell,4.58426363911138,26468,3
Gemma Rovira Ortega,4.57,5104,1
Daniel Vozzo,4.568947306168313,16909,2
Hayao Miyazaki,4.546123148869836,12830,9
Arthur Bennett,4.54,9476,1
Matt Wagner,4.535184696057487,51490,2
Hiromu Arakawa,4.534981573589671,232818,27
