canonical_book_id,title,average_rating,ratings_count,ratings_count_capped,language_code
41865,Twilight (Twilight  #1),3.59,4597666,597244,eng
5907,The Hobbit  or There and Back Again,4.27,2530894,597244,eng
5107,The Catcher in the Rye,3.8,2457092,597244,eng
960,Angels & Demons (Robert Langdon  #1),3.89,2418736,597244,eng
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,2339585,597244,eng
15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,2293963,597244,eng
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,2153167,597244,eng
34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,2128944,597244,eng
7613,Animal Farm,3.93,2111750,597244,eng
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,2095690,597244,eng
7624,Lord of the Flies,3.68,2036679,597244,eng
18135,Romeo and Juliet,3.74,1893917,597244,eng
28187,The Lightning Thief (Percy Jackson and the Olympians  #1),4.25,1766725,597244,eng
890,Of Mice and Men,3.87,1755253,597244,eng
968,The Da Vinci Code (Robert Langdon  #2),3.84,1679706,597244,eng
865,The Alchemist,3.86,1631221,597244,eng
3636,The Giver (The Giver  #1),4.13,1585589,597244,eng
19063,The Book Thief,4.37,1516367,597244,eng
1934,Little Women,4.07,1479727,597244,eng
10210,Jane Eyre,4.12,1409369,597244,eng
