publication_year,average_rating,book_count
1900.0,3.88,1
1913.0,3.96,1
1914.0,3.95,1
1919.0,4.32,1
1921.0,4.14,2
1922.0,5.0,1
1923.0,4.29,1
1925.0,3.955,2
1928.0,4.34,1
1929.0,4.02,1
1931.0,2.75,1
1935.0,3.63,1
1940.0,3.97,1
1943.0,4.21,1
1947.0,4.06,1
1948.0,3.55,1
1949.0,3.796666666666667,3
1950.0,4.045,2
1952.0,3.9050000000000002,2
1953.0,3.9799999999999995,2
1954.0,3.925,4
1955.0,4.140000000000001,4
1956.0,3.9233333333333333,3
1957.0,4.03,3
1958.0,3.98,4
1959.0,3.9659999999999997,5
1960.0,3.9899999999999998,6
1961.0,4.078,5
1962.0,4.013333333333333,3
1963.0,4.015555555555555,9
1964.0,3.813529411764706,17
1965.0,3.876666666666667,9
1966.0,4.065,4
1967.0,4.023333333333333,3
1968.0,3.9866666666666664,6
1969.0,4.048181818181818,11
1970.0,3.983076923076923,13
1971.0,4.033636363636364,11
1972.0,3.8778571428571427,14
1973.0,3.966875,16
1974.0,4.0275,12
1975.0,4.0325,16
1976.0,3.86,30
1977.0,4.003235294117647,35
1978.0,3.9379166666666667,24
1979.0,3.9575,32
1980.0,3.9769230769230766,26
1981.0,4.0040000000000004,31
1982.0,3.9986363636363635,44
1983.0,3.9945714285714287,36
1984.0,4.014657534246576,73
1985.0,4.031311475409836,62
1986.0,3.971805555555556,72
1987.0,3.9002298850574713,87
1988.0,3.974736842105263,77
1989.0,3.9661538461538464,118
1990.0,4.022820512820513,117
1991.0,4.009602649006623,151
1992.0,3.9886263736263734,183
1993.0,3.972181818181818,165
1994.0,3.936318181818182,220
1995.0,3.955301204819277,249
1996.0,3.974556451612903,250
1997.0,3.941805555555556,290
1998.0,3.936506329113924,396
1999.0,3.9228507795100223,451
2000.0,3.936704331450094,533
2001.0,3.95635528330781,655
2002.0,3.9459622641509435,797
2003.0,3.9323010752688172,931
2004.0,3.953449248120301,1065
2005.0,3.928162291169451,1258
2006.0,3.918619469026549,1697
2007.0,3.914835589941973,517
2008.0,3.976326530612245,49
2009.0,3.9457142857142857,42
2010.0,3.994864864864865,37
2011.0,3.9395652173913045,24
2012.0,3.9257142857142857,21
2013.0,4.066666666666666,15
2014.0,4.015555555555555,9
2015.0,3.936,10
2016.0,3.9033333333333338,6
2017.0,3.867142857142857,7
2018.0,4.014,5
2019.0,3.9183333333333334,6
2020.0,3.91,1
